City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.96,78,53,8.96,TF,1704902506
1,ribeira grande,38.5167,-28.7,16.22,94,75,8.23,PT,1704902032
2,blackmans bay,-43.0167,147.3167,15.07,65,0,3.38,AU,1704902024
3,anadyr,64.75,177.4833,-27.72,82,0,5.0,RU,1704902071
4,waitangi,-43.9535,-176.5597,14.34,72,83,2.24,NZ,1704902024
5,chonchi,-42.6128,-73.8092,14.62,44,7,3.03,CL,1704902084
6,afaahiti,-17.75,-149.2833,24.93,81,93,7.29,PF,1704902508
7,tsiombe,-25.3,45.4833,26.31,75,67,5.25,MG,1704902034
8,yangquan,37.8575,113.5633,1.23,41,0,5.54,CN,1704902510
9,san martin de valdeiglesias,40.3623,-4.3439,7.77,84,100,1.94,ES,1704902511
10,samba,32.5667,75.1167,15.08,30,0,1.3,IN,1704902511
11,clearwater,27.9659,-82.8001,17.21,73,100,4.92,US,1704902512
12,myeik,12.4333,98.6,24.92,78,29,1.76,MM,1704902513
13,avarua,-21.2078,-159.775,26.03,83,20,2.57,CK,1704902040
14,adamstown,-25.066,-130.1015,24.0,86,73,3.66,PN,1704902027
15,lihue,21.9789,-159.3672,17.77,88,0,2.57,US,1704902069
16,iskateley,67.6803,53.1512,-17.21,97,100,3.58,RU,1704902078
17,senise,40.1471,16.2889,7.75,77,100,1.85,IT,1704902513
18,hermanus,-34.4187,19.2345,20.24,74,100,7.72,ZA,1704902032
19,altamira,-3.2033,-52.2064,31.05,66,75,3.6,BR,1704902514
20,el gouna,27.3942,33.6782,22.05,36,0,10.14,EG,1704902516
21,bilibino,68.0546,166.4372,-32.59,99,99,0.7,RU,1704902027
22,ushuaia,-54.8,-68.3,8.79,57,0,10.8,AR,1704902028
23,hailar,49.2,119.7,-17.54,97,97,2.52,CN,1704902095
24,constantia,44.1833,28.65,-1.62,63,2,6.47,RO,1704902448
25,aasiaat,68.7098,-52.8699,-4.22,91,81,5.19,GL,1704902038
26,minas de marcona,-15.2119,-75.1103,21.98,64,85,4.66,PE,1704902070
27,kapuskasing,49.4169,-82.4331,-12.95,85,100,7.72,CA,1704902114
28,yuzhno-kurilsk,44.0306,145.8556,-4.24,86,100,10.36,RU,1704902036
