City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gazli,40.1333,63.45,4.09,50,98,4.83,UZ,1704910353
1,grytviken,-54.2811,-36.5092,5.21,96,100,1.54,GS,1704910353
2,kyzyl,51.7,94.45,-19.43,91,99,0.45,RU,1704910354
3,adamstown,-25.066,-130.1015,24.23,85,42,4.35,PN,1704910354
4,papatowai,-46.5619,169.4708,15.02,73,46,2.77,NZ,1704910355
5,dudinka,69.4058,86.1778,-30.18,96,68,4.02,RU,1704910360
6,albany,42.6001,-73.9662,8.23,59,90,3.13,US,1704910219
7,colonia,50.9333,6.95,-0.54,65,0,1.54,DE,1704910361
8,olonkinbyen,70.9221,-8.7187,-3.81,91,100,2.29,SJ,1704910361
9,mongoumba,3.6415,18.5936,25.99,22,46,0.75,CF,1704910361
10,puerto natales,-51.7236,-72.4875,16.25,48,75,6.69,CL,1704910362
11,port elizabeth,-33.918,25.5701,21.17,96,20,4.12,ZA,1704910362
12,puerto tirol,-27.3722,-59.0821,36.28,46,100,3.11,AR,1704910362
13,longyearbyen,78.2186,15.6401,-14.09,78,100,6.69,SJ,1704910362
14,ambodifotatra,-16.9833,49.85,28.1,78,97,7.73,MG,1704910362
15,talnakh,69.4865,88.3972,-27.93,96,76,3.07,RU,1704910362
16,wailua homesteads,22.0669,-159.378,21.24,79,0,3.09,US,1704910363
17,sinabang,2.4803,96.3801,26.41,83,100,1.11,ID,1704910363
18,jumla,29.2747,82.1838,2.7,29,0,2.15,NP,1704910363
19,castillos,-34.1667,-53.8333,26.77,68,85,5.17,UY,1704910363
20,tazovsky,67.4667,78.7,-26.73,98,92,4.51,RU,1704910369
21,roma,43.2128,-75.4557,6.09,64,100,4.12,US,1704910312
22,udachny,66.4167,112.4,-35.31,73,58,1.66,RU,1704910369
23,strugi-krasnyye,58.2675,29.1114,0.37,97,100,5.92,RU,1704910370
24,jamestown,42.097,-79.2353,0.57,99,100,8.23,US,1704910370
25,port-aux-francais,-49.35,70.2167,4.79,81,58,9.26,TF,1704910370
26,port alfred,-33.5906,26.891,21.77,89,100,4.25,ZA,1704910370
27,caleta de carquin,-11.0925,-77.6267,25.4,72,50,4.75,PE,1704910371
28,porto novo,6.4965,2.6036,28.9,74,20,3.91,BJ,1704910371
29,hadibu,12.65,54.0333,23.73,79,84,7.54,YE,1704910371
30,hasaki,35.7333,140.8333,4.22,61,100,12.61,JP,1704910371
31,nema,57.5067,50.5011,-23.41,100,58,2.97,RU,1704910371
32,saint-francois,46.4154,3.9054,0.36,100,100,2.06,FR,1704910371
33,boke,10.9409,-14.2967,33.74,25,96,2.16,GN,1704910371
34,tura,25.5198,90.2201,12.25,54,0,1.17,IN,1704910371
35,tekirova,36.5017,30.5272,13.88,75,97,3.6,TR,1704910372
36,geraldton,-28.7667,114.6,21.23,83,100,6.69,AU,1704910372
37,port mathurin,-19.6833,63.4167,28.04,78,33,5.22,MU,1704910372
38,ilulissat,69.2167,-51.1,7.01,57,75,8.23,GL,1704910372
39,retreat,38.8245,-85.8533,1.29,82,100,4.92,US,1704910372
40,bilibino,68.0546,166.4372,-32.96,99,99,0.8,RU,1704910373
41,naze,28.3667,129.4833,11.51,58,91,10.03,JP,1704910373
42,tamanrasset,22.785,5.5228,17.95,11,0,1.03,DZ,1704910373
43,san giovanni in fiore,39.2633,16.6996,4.32,96,100,0.58,IT,1704910373
44,happy valley-goose bay,53.3168,-60.3315,-16.83,51,100,1.03,CA,1704910373
45,kismayo,-0.3582,42.5454,26.65,79,71,7.05,SO,1704910235
46,weno,7.4515,151.8468,27.97,74,75,1.54,FM,1704910374
47,medvezh'yegorsk,62.9167,34.4667,-8.31,97,100,0.76,RU,1704910374
48,salinopolis,-0.6136,-47.3561,28.95,72,79,4.71,BR,1704910374
49,kidal,18.4411,1.4078,25.93,9,100,4.09,ML,1704910374
50,waitangi,-43.9535,-176.5597,14.9,72,97,2.68,NZ,1704910147
51,rio grande,-32.035,-52.0986,27.19,82,100,2.0,BR,1704910375
52,kununurra,-15.7667,128.7333,24.99,100,75,2.57,AU,1704910375
53,puerto colombia,10.9878,-74.9547,35.05,71,3,6.75,CO,1704910375
54,tarboro,35.8968,-77.5358,10.95,46,0,6.69,US,1704910375
55,aldama,22.9167,-98.0667,21.55,52,100,5.94,MX,1704910375
56,harstad,68.799,16.5293,-0.34,96,100,8.49,NO,1704910375
57,aiken,33.5835,-81.5998,10.74,54,0,7.2,US,1704910264
58,ribeira grande,38.5167,-28.7,15.43,94,75,5.66,PT,1704910375
59,faya-largeau,17.9257,19.1043,22.37,14,0,8.0,TD,1704910376
60,iqaluit,63.7506,-68.5145,-26.84,68,20,1.79,CA,1704910376
61,atafu village,-8.5421,-172.5159,29.06,73,57,5.0,TK,1704910376
62,ushuaia,-54.8,-68.3,9.81,57,75,9.77,AR,1704910376
63,argentan,48.75,-0.0167,-2.73,82,92,2.4,FR,1704910376
64,puerto ayora,-0.7393,-90.3518,30.98,87,37,3.58,EC,1704910376
65,kodiak,57.79,-152.4072,-3.27,80,0,1.54,US,1704910377
66,nelson,-41.2833,173.2833,14.6,87,96,1.34,NZ,1704910378
67,malakanagiri,18.35,81.9,21.65,53,85,0.74,IN,1704910378
68,brookings,44.3114,-96.7984,-7.01,89,75,6.17,US,1704910181
69,fada,9.5667,8.3,23.67,9,5,2.76,NG,1704910378
70,matoury,4.8483,-52.3317,29.98,74,100,7.2,GF,1704910378
71,laguna,38.421,-121.4238,10.05,81,100,6.69,US,1704910378
72,invercargill,-46.4,168.35,19.45,73,62,1.79,NZ,1704910378
73,vilyuchinsk,52.9306,158.4028,-18.93,84,100,2.79,RU,1704910361
74,isafjordur,66.0755,-23.124,4.34,87,47,4.87,IS,1704910379
75,uturoa,-16.7333,-151.4333,27.98,78,92,5.17,PF,1704910379
76,bethel,41.3712,-73.414,9.95,58,100,7.72,US,1704910379
77,goronyo,13.4423,5.6763,26.52,11,1,4.03,NG,1704910380
78,keflavik,64.0049,-22.5624,7.24,87,75,11.83,IS,1704910380
79,kamloops,50.6665,-120.3192,-2.45,50,75,4.63,CA,1704910380
80,mar del plata,-38.0023,-57.5575,22.51,60,0,4.47,AR,1704910380
81,pleiku,13.9833,108.0,15.18,96,91,2.17,VN,1704910380
82,dakhla,23.6848,-15.958,20.13,64,0,4.92,EH,1704910122
83,saudarkrokur,65.7461,-19.6394,1.9,79,22,6.51,IS,1704910380
84,valenca do piaui,-6.4075,-41.7456,29.86,61,88,0.43,BR,1704910381
85,torbat-e heydariyeh,35.274,59.2195,5.8,40,7,1.43,IR,1704910381
86,usakos,-22.0,15.6,23.46,29,57,6.64,NA,1704910381
87,punta arenas,-53.15,-70.9167,14.06,51,40,12.35,CL,1704910382
88,panjab,34.388,67.0233,-8.44,55,4,1.1,AF,1704910382
89,blackmans bay,-43.0167,147.3167,14.29,70,5,0.89,AU,1704910382
90,bredasdorp,-34.5322,20.0403,18.89,83,99,5.04,ZA,1704910382
91,margaret river,-33.95,115.0667,13.89,84,77,5.07,AU,1704910383
92,berezovo,63.9381,65.0419,-32.13,98,65,4.52,RU,1704910383
93,saldanha,-33.0117,17.9442,20.03,81,15,12.62,ZA,1704910383
94,magadan,59.5667,150.8,-22.38,86,99,2.89,RU,1704910383
95,parkes,-33.1333,148.1833,22.42,73,0,1.71,AU,1704910384
96,west island,-12.1568,96.8225,26.99,89,75,2.57,CC,1704910384
97,hamilton,39.1834,-84.5333,2.11,87,100,5.14,US,1704910179
98,palmer,42.1584,-72.3287,9.19,63,75,8.75,US,1704910288
99,irondale,33.5382,-86.7072,9.74,60,75,4.12,US,1704910384
100,phalaborwa,-23.943,31.1411,28.56,44,20,2.1,ZA,1704910384
101,sabang,5.8933,95.3214,27.58,80,63,5.82,ID,1704910384
102,ishigaki,24.3448,124.1572,14.07,58,40,6.17,JP,1704910385
103,northam,51.0333,-4.2167,4.78,78,36,7.64,GB,1704910385
104,plastun,44.7561,136.2939,-12.53,57,100,1.44,RU,1704910385
105,depok,-6.4,106.8186,27.58,89,98,1.63,ID,1704910385
106,aroma,15.8167,36.1333,28.99,27,11,3.02,SD,1704910386
107,nemuro,43.3236,145.575,-7.4,67,70,5.84,JP,1704910386
108,vila franca do campo,37.7167,-25.4333,19.23,99,100,14.34,PT,1704910386
109,rosarito,32.3333,-117.0333,14.03,67,41,2.05,MX,1704910386
110,vila velha,-20.3297,-40.2925,30.97,71,20,7.2,BR,1704910386
111,conduaga,8.862,117.4893,26.34,85,34,4.04,PH,1704910387
112,el calafate,-50.3408,-72.2768,14.86,55,36,7.49,AR,1704910387
113,moravce,46.1369,14.745,-2.73,70,83,0.99,SI,1704910387
114,lebu,-37.6167,-73.65,15.99,60,0,8.06,CL,1704910387
115,at taj,24.2049,23.2857,12.2,24,23,4.69,LY,1704910387
116,san antonio de pale,-1.4014,5.6325,27.0,78,74,5.38,GQ,1704910388
117,malone,44.8487,-74.2949,5.05,78,99,6.84,US,1704910297
118,lihue,21.9789,-159.3672,21.58,79,0,3.09,US,1704910388
119,aasiaat,68.7098,-52.8699,-3.93,90,91,6.95,GL,1704910389
120,tual,-5.6667,132.75,28.36,81,100,6.36,ID,1704910389
121,alta,69.9689,23.2717,-3.41,74,75,6.17,NO,1704910389
122,nova sintra,14.8667,-24.7167,20.91,64,0,7.39,CV,1704910391
123,badger,64.8,-147.5333,-18.07,71,75,1.54,US,1704910328
124,yung shue wan,22.2333,114.1167,18.71,74,12,0.89,HK,1704910391
125,santander,43.4647,-3.8044,6.92,82,75,3.6,ES,1704910392
126,guanica,17.9716,-66.908,31.69,56,51,6.86,PR,1704910392
127,neiafu,-18.65,-173.9833,27.42,79,70,4.31,TO,1704910393
128,easton,40.6884,-75.2207,7.98,59,60,4.47,US,1704910148
129,whitehorse,60.7161,-135.0538,-20.57,77,40,3.6,CA,1704910393
130,east london,-33.0153,27.9116,21.52,94,20,2.57,ZA,1704910393
131,barnard castle,54.5415,-1.919,4.72,94,100,5.6,GB,1704910393
132,antalaha,-14.9003,50.2788,25.72,90,99,2.59,MG,1704910393
133,rongelap,11.1635,166.8941,26.98,80,62,9.52,MH,1704910393
134,pointe-du-lac,46.2869,-72.6845,-0.01,98,100,3.09,CA,1704910394
135,ust'-uda,54.1742,103.0304,-28.52,100,97,0.73,RU,1704910394
136,afaahiti,-17.75,-149.2833,24.93,83,98,7.55,PF,1704910395
137,nar'yan-mar,67.6713,53.087,-17.16,97,100,3.58,RU,1704910395
138,iguape,-24.7081,-47.5553,29.5,72,7,5.96,BR,1704910166
139,fisterra,42.9049,-9.2629,9.86,77,95,8.61,ES,1704910396
140,idri,27.5,13.2667,13.14,22,73,3.35,LY,1704910396
141,crane,31.3974,-102.3501,13.28,16,14,6.66,US,1704910397
142,undurkhaan,47.3194,110.6556,-19.35,86,0,1.58,MN,1704910397
143,moree,-29.4667,149.85,24.74,77,100,5.04,AU,1704910397
144,stanley,54.868,-1.6985,4.87,91,75,4.12,GB,1704910397
145,port lincoln,-34.7333,135.8667,17.16,86,3,4.85,AU,1704910397
146,sudogda,55.9539,40.8629,-19.6,96,56,2.44,RU,1704910397
147,fortuna,40.5982,-124.1573,10.92,97,75,7.72,US,1704910397
148,qaqortoq,60.7167,-46.0333,1.03,94,100,1.79,GL,1704910398
149,ensenada,31.8667,-116.6167,14.97,61,13,0.63,MX,1704910398
150,kapa'a,22.0752,-159.319,21.99,79,0,3.09,US,1704910399
151,kirillov,59.863,38.3813,-12.23,95,100,4.99,RU,1704910399
152,san luis de la loma,17.2706,-100.8939,28.72,62,96,2.79,MX,1704910400
153,utrik,11.2278,169.8474,26.64,79,82,10.08,MH,1704910400
154,labrador city,52.9463,-66.9114,-13.19,91,100,7.68,CA,1704910211
155,yellowknife,62.456,-114.3525,-38.71,67,20,2.06,CA,1704910382
156,zhanga buqtyrma,49.6295,83.5248,2.36,93,100,6.73,KZ,1704910401
157,iskateley,67.6803,53.1512,-17.21,97,100,3.58,RU,1704910401
158,belle glade,26.6845,-80.6676,22.79,60,56,2.77,US,1704910401
159,flin flon,54.7682,-101.865,-24.09,77,100,4.12,CA,1704910401
160,walvis bay,-22.9575,14.5053,18.92,76,53,6.91,NA,1704910401
